4150513_0	show me the 5 greatest QUOTED_STRING_0 that have no more than 1 review .	sort ( aggregateRating . ratingValue desc of @org.schema.Book . Book ( ) filter aggregateRating . reviewCount <= 1 && id =~ QUOTED_STRING_0 ) [ 1 : 5 ] ;
4150513_1	search and find the top 5 QUOTED_STRING_0 which have a review number that is equal to no more than 1 .	sort ( aggregateRating . ratingValue desc of @org.schema.Book . Book ( ) filter aggregateRating . reviewCount <= 1 && id =~ QUOTED_STRING_0 ) [ 1 : 5 ] ;
4150513_2	locate some books .	@org.schema.Book . Book ( ) ;
4150513_3	search for some books .	@org.schema.Book . Book ( ) ;
4150513_4	show a list of QUOTED_STRING_0 books that were written by octavio paz and also written on DATE_0 .	@org.schema.Book . Book ( ) filter author == null ^^org.schema.Book:Person ( " octavio paz " ) && datePublished == DATE_0 && id =~ QUOTED_STRING_0 ;
4150513_5	retrieve QUOTED_STRING_0 books authored by octavio paz and additionally written on DATE_0 .	@org.schema.Book . Book ( ) filter author == null ^^org.schema.Book:Person ( " octavio paz " ) && datePublished == DATE_0 && id =~ QUOTED_STRING_0 ;
4150513_6	find all QUOTED_STRING_0 books which have icelandic writing .	@org.schema.Book . Book ( ) filter id =~ QUOTED_STRING_0 && inLanguage == null ^^tt:iso_lang_code ( " icelandic " ) ;
4150513_7	look for icelandic written QUOTED_STRING_0 books .	@org.schema.Book . Book ( ) filter id =~ QUOTED_STRING_0 && inLanguage == null ^^tt:iso_lang_code ( " icelandic " ) ;
4150513_8	show me the 5 best QUOTED_STRING_0 that have a review of no more than 1	sort ( aggregateRating . ratingValue desc of @org.schema.Book . Book ( ) filter aggregateRating . reviewCount <= 1 && id =~ QUOTED_STRING_0 ) [ 1 : 5 ] ;
4150513_9	list all of the 5 best review counts that have no more than 1 for QUOTED_STRING_0	sort ( aggregateRating . ratingValue desc of @org.schema.Book . Book ( ) filter aggregateRating . reviewCount <= 1 && id =~ QUOTED_STRING_0 ) [ 1 : 5 ] ;
4150513_10	search for books	@org.schema.Book . Book ( ) ;
4150513_11	look for some books	@org.schema.Book . Book ( ) ;
4150513_14	find any books written in icelandic titled QUOTED_STRING_0	@org.schema.Book . Book ( ) filter id =~ QUOTED_STRING_0 && inLanguage == null ^^tt:iso_lang_code ( " icelandic " ) ;
4150513_15	search for QUOTED_STRING_0 books that are written in icelandic	@org.schema.Book . Book ( ) filter id =~ QUOTED_STRING_0 && inLanguage == null ^^tt:iso_lang_code ( " icelandic " ) ;
4150513_16	what are the best 5 books with 1 or fewer reviews matching QUOTED_STRING_0 ?	sort ( aggregateRating . ratingValue desc of @org.schema.Book . Book ( ) filter aggregateRating . reviewCount <= 1 && id =~ QUOTED_STRING_0 ) [ 1 : 5 ] ;
4150513_17	list the 5 top rated books titled QUOTED_STRING_0 with review count not exceeding 1	sort ( aggregateRating . ratingValue desc of @org.schema.Book . Book ( ) filter aggregateRating . reviewCount <= 1 && id =~ QUOTED_STRING_0 ) [ 1 : 5 ] ;
4150513_18	show list of books	@org.schema.Book . Book ( ) ;
4150513_19	search for books	@org.schema.Book . Book ( ) ;
4150513_20	list books by octavio paz published DATE_0 named QUOTED_STRING_0	@org.schema.Book . Book ( ) filter author == null ^^org.schema.Book:Person ( " octavio paz " ) && datePublished == DATE_0 && id =~ QUOTED_STRING_0 ;
4150513_21	what books titled QUOTED_STRING_0 by octavio paz were written on DATE_0 ?	@org.schema.Book . Book ( ) filter author == null ^^org.schema.Book:Person ( " octavio paz " ) && datePublished == DATE_0 && id =~ QUOTED_STRING_0 ;
4150513_22	show icelandic language books titled QUOTED_STRING_0	@org.schema.Book . Book ( ) filter id =~ QUOTED_STRING_0 && inLanguage == null ^^tt:iso_lang_code ( " icelandic " ) ;
4150513_23	list books matching QUOTED_STRING_0 in icelandic	@org.schema.Book . Book ( ) filter id =~ QUOTED_STRING_0 && inLanguage == null ^^tt:iso_lang_code ( " icelandic " ) ;
4150513_24	who wrote the books with 5 or fewer pages ?	[ author ] of @org.schema.Book . Book ( ) filter numberOfPages <= 5 ;
4150513_25	which author composed the books that are under or equal to 5 pages in length ?	[ author ] of @org.schema.Book . Book ( ) filter numberOfPages <= 5 ;
4150513_26	what books won the QUOTED_STRING_0 that were published on DATE_0 ?	@org.schema.Book . Book ( ) filter contains~ ( award , QUOTED_STRING_0 ) && datePublished == DATE_0 ;
4150513_27	can you list all of the book titles that were given the QUOTED_STRING_0 and have publication dates of DATE_0 ?	@org.schema.Book . Book ( ) filter contains~ ( award , QUOTED_STRING_0 ) && datePublished == DATE_0 ;
4150513_28	can you name the QUOTED_STRING_0 book titles written by lian dolan at hill mari ?	@org.schema.Book . Book ( ) filter author == null ^^org.schema.Book:Person ( " lian dolan " ) && id =~ QUOTED_STRING_0 && inLanguage == null ^^tt:iso_lang_code ( " hill mari " ) ;
4150513_29	at hill mari , which QUOTED_STRING_0 books did lian dolan create ?	@org.schema.Book . Book ( ) filter author == null ^^org.schema.Book:Person ( " lian dolan " ) && id =~ QUOTED_STRING_0 && inLanguage == null ^^tt:iso_lang_code ( " hill mari " ) ;
4150513_30	list out all of the QUOTED_STRING_0 books composed on DATE_0 .	@org.schema.Book . Book ( ) filter datePublished == DATE_0 && id =~ QUOTED_STRING_0 ;
